day_id,condition_text
D0001,Light Precipitation
D0002,Cloudy and Overcast
D0003,Light Rain with Thunder
D0004,Clear and Sunny
D0005,Clear and Sunny
D0006,Clear and Sunny
D0007,Partly Cloudy
D0008,Partly Cloudy
D0009,Partly Cloudy
D0010,Partly Cloudy
D0011,Clear and Sunny
D0012,Clear and Sunny
D0013,Clear and Sunny
D0014,Clear and Sunny
D0015,Clear and Sunny
D0016,Clear and Sunny
D0017,Partly Cloudy
D0018,Clear and Sunny
D0019,Clear and Sunny
D0020,Thunderstorms
D0021,Clear and Sunny
D0022,Clear and Sunny
D0023,Clear and Sunny
D0024,Light Precipitation
D0025,Mist or Fog
D0026,Clear and Sunny
D0027,Clear and Sunny
D0028,Partly Cloudy
D0029,Partly Cloudy
D0030,Partly Cloudy
D0031,Clear and Sunny
D0032,Moderate to Heavy Rain
D0033,Mist or Fog
D0034,Rain Showers
D0035,Partly Cloudy
D0036,Partly Cloudy
D0037,Partly Cloudy
D0038,Partly Cloudy
D0039,Clear and Sunny
D0040,Partly Cloudy
D0041,Partly Cloudy
D0042,Light Rain with Thunder
D0043,Partly Cloudy
D0044,Cloudy and Overcast
D0045,Light Precipitation
D0046,Clear and Sunny
D0047,Thunderstorms
D0048,Thunderstorms
D0049,Cloudy and Overcast
D0050,Partly Cloudy
D0051,Clear and Sunny
D0052,Partly Cloudy
D0053,Cloudy and Overcast
D0054,Partly Cloudy
D0055,Cloudy and Overcast
D0056,Partly Cloudy
D0057,Light Precipitation
D0058,Cloudy and Overcast
D0059,Light Precipitation
D0060,Light Precipitation
D0061,Thunderstorms
D0062,Clear and Sunny
D0063,Partly Cloudy
D0064,Partly Cloudy
D0065,Cloudy and Overcast
D0066,Clear and Sunny
D0067,Partly Cloudy
D0068,Clear and Sunny
D0069,Partly Cloudy
D0070,Rain Showers
D0071,Cloudy and Overcast
D0072,Partly Cloudy
D0073,Clear and Sunny
D0074,Clear and Sunny
D0075,Partly Cloudy
D0076,Clear and Sunny
D0077,Partly Cloudy
D0078,Cloudy and Overcast
D0079,Light Precipitation
D0080,Partly Cloudy
D0081,Cloudy and Overcast
D0082,Partly Cloudy
D0083,Partly Cloudy
D0084,Partly Cloudy
D0085,Partly Cloudy
D0086,Partly Cloudy
D0087,Cloudy and Overcast
D0088,Partly Cloudy
D0089,Partly Cloudy
D0090,Cloudy and Overcast
D0091,Light Rain with Thunder
D0092,Partly Cloudy
D0093,Partly Cloudy
D0094,Partly Cloudy
D0095,Partly Cloudy
D0096,Partly Cloudy
D0097,Partly Cloudy
D0098,Partly Cloudy
D0099,Partly Cloudy
